Item ID,Price
i7 plus clear tpu Bumper,0.29 
i7 plus clear tpu Corner,0.30 
i7 plus clear tpu regular,0.30 
I7 Plus Glass,0.29 
I7 Plus kick black&blue,0.35 
I7 Plus kick black&white,0.35 
I7 Plus kick black&white+Glass,0.49 
I7 Plus kick Blue,0.35 
i7 Plus Kick Gold,0.35 
I7 Plus kick gold+Glass,0.49 
I7 Plus kick Green,0.31 
I7 Plus kick purple,0.35 
I7 Plus kick red,0.35 
I7 Plus kick red+Glass,0.49 
i7 Plus Kick Rose Gold,0.35 
i7 Plus Kick Silver,0.35 
I7 Plus kick white,0.35 
I7 Plus kick white+Glass,0.49 
I7 Plus PL,0.40 
I7 Plus QH Hot Pink,0.32 
I7 Plus QH Teal+Black,0.32 
I7 Plus QH Teal+Pink,0.32 
I7 Plus Red Rose,0.40 
I7 Plus RF,0.40 
I7 Plus Tower,0.40 
i7 plus Tpu Clear Regular,0.20 
I7 Plus Tpu Pink,0.35 
i7 Plus Tpu Regular,0.29 
I7 Plus White BB,0.40 
I7 QH Silver,0.32 
I7 Red Glass,0.34 
I7 RGold Glass,0.34 
i7 Tpu Clear bumper,0.24 
I7 Wallet Blossom,0.40 
i7 Wallet Floral,0.40 
I7 White Glass,0.34 
i7+ Wallet Blossom,0.45 
i7+ Wallet Floral,0.45 
i7+ Wallet Lost,0.45 
I7Plus Black Glass,0.34 
I7Plus Black Glass Zinc,0.44 
I7Plus Black Glass+ Case,0.39 
I7Plus BumperGold+Glass,0.55 
I7Plus BumperPink+Glass,0.55 
I7Plus Gold Glass,0.34 
i7Plus Kick blue+grey,0.35 
i7Plus Kick teal+black,0.31 
i7Plus Kick Teal+Pink,0.31 
I7Plus Red Glass,0.34 
I7Plus Red Glass Zinc,0.44 
I7Plus Red Glass+ Case,0.39 
I7Plus RGold Glass,0.34 
I7Plus RGold Glass Zinc,0.40 
I7Plus Silver Glass,0.34 
I7Plus Silver Glass+ Case,0.39 
I7Plus Wallet Blossom,0.45 
I7Plus wallet Floral,0.45 
i7Plus Wallet Tiful,0.40 
I7Plus White Glass,0.34 
I7Plus White Glass Zinc,0.44 
I8 Black Glass,0.34 
I8 Clear Bumper,0.30 
I8 Clear Tpu,0.29 
I8 Clear Tpu Corner,0.30 
I8 Clear Tpu Reg,0.30 
I8 Glass,0.26 
i8 gold glass,0.34 
I8 Kick Black& Blue,0.35 
I8 Kick Black& White,0.35 
I8 Kick Blue,0.35 
I8 Kick Gold,0.35 
I8 Kick green,0.35 
I8 Kick Purple,0.35 
I8 Kick Red,0.31 
I8 Kick Rose Gold,0.35 
I8 Kick silver,0.35 
I8 Kick whtie,0.35 
I8 Plus BB,0.40 
I8 Plus BK Rose,0.40 
I8 Plus Boo,0.40 
I8 Plus Clear Bumper,0.27 
I8 Plus clear red Floral,0.40 
I8 Plus Clear reg,0.29 
I8 Plus Clear Tpu,0.29 
I8 Plus Clear Tpu Corner,0.30 
I8 Plus Clear Tpu Reg,0.30 
i8 plus clear tpu regular,0.29 
I8 Plus Glass,0.29 
I8 Plus PL,0.40 
I8 Plus Red Rose,0.40 
I8 Plus RF,0.40 
I8 Plus Tower,0.40 
i8 plus tpu clear,0.29 
I8 Plus Tpu Clear bumper,0.29 
I8 Plus White BB,0.40 
I8 Red Glass,0.34 
I8 Red Glass+ Case,0.39 
I8 RGold Glass,0.34 
I8 White Glass,0.34 
I8/7 Tpu Clear bumper,0.29 
I8Plus Black Glass,0.34 
I8Plus Black Glass Zinc,0.44 
I8Plus Gold Glass,0.34 
I8Plus Gold Glass Zinc,0.44 
I8Plus Kick Black&Blue,0.35 
I8Plus Kick Black&White,0.35 
I8Plus Kick Blue,0.31 
I8Plus Kick Gold,0.31 
I8Plus Kick green,0.31 
I8Plus Kick Purple,0.35 
I8Plus Kick Red,0.35 
I8Plus Kick Rose Gold,0.35 
I8Plus Kick Silver,0.35 
I8Plus Kick whtie,0.35 
I8Plus Red Glass,0.34 
I8Plus Red Glass Zinc,0.44 
I8Plus Red Glass+ Case,0.39 
I8Plus RGold Glass,0.34 
I8Plus RGold Glass Zinc,0.44 
I8Plus Silver Glass,0.34 
I8Plus White Glass,0.34 
IP 6 Boo,0.40 
IP 6 Plus Boo,0.40 
IP 6s Boo,0.40 
IP 6s Plus Boo,0.40 
IP 7 Plus Boo,0.40 
IP 7 Plus Sun Flower,0.40 
IP 7 Plus Unicorn,0.40 
IP 7plus White BB,0.40 
IP 8 Boo,0.40 
IP 8 Plus Boo,0.40 
IP 8 Plus Red Floral Clear,0.40 
IP 8 Plus Sun Flower,0.40 
IP 8 Plus Unicorn,0.40 
IP 8plus White BB,0.40 
IP X Armor Black,0.50 
IP X BOO,0.40 
IP X Clear Bumper,0.30 
IP X clear red Floral,0.40 
